,SYMBOL
591,GFLLIMITED
592,GFSTEELS
593,GHCL
595,GICRE
596,GILLANDERS
598,GINNIFILA
599,GIPCL
600,GKWLIMITED
602,GLAXO
603,GLENMARK
605,GLOBALVECT
606,GLOBE
607,GLOBUSSPR
608,GLS
609,GMBREW
610,GMDCLTD
611,GMMPFAUDLR
612,GMRINFRA
613,GNA
614,GNFC
615,GOACARBON
616,GOCLCORP
617,GODFRYPHLP
618,GODHA
620,GODREJCP
621,GODREJIND
622,GODREJPROP
624,GOKEX
625,GOKUL
626,GOKULAGRO
629,GOLDIAM
631,GOLDTECH
632,GOODLUCK
635,GPPL
636,GPTINFRA
637,GRANULES
639,GRASIM
641,GRAVITA
642,GREAVESCOT
643,GREENLAM
645,GREENPLY
646,GREENPOWER
647,GRINDWELL
649,GROBTEA
650,GRPLTD
651,GRSE
652,GSCLCEMENT
653,GSFC
654,GSPL
655,GSS
656,GTL
658,GTPL
659,GUFICBIO
660,GUJALKALI
662,GUJGASLTD
665,GULFPETRO
667,HAL
668,HAPPSTMNDS
669,HARRMALAYA
670,HATHWAY
672,HAVELLS
675,HBLPOWER
676,HBSL
677,HCC
678,HCG
679,HCL-INSYS
680,HCLTECH
681,HDFC
682,HDFC
683,HDFCAMC
684,HDFCBANK
685,HDFCLIFE
687,HDFCNIFETF
690,HEALTHY
691,HEG
692,HEIDELBERG
693,HEMIPROP
694,HEOFRG1126
695,HERANBA
696,HERCULES
699,HESTERBIO
700,HEXATRADEX
701,HFCL
702,HGINFRA
703,HGS
704,HIKAL
705,HIL
706,HILTON
707,HIMATSEIDE
708,HINDALCO
709,HINDCOMPOS
710,HINDCON
711,HINDCOPPER
712,HINDMOTORS
713,HINDNATGLS
714,HINDOILEXP
715,HINDPETRO
716,HINDUNILVR
717,HINDZINC
718,HIRECT
720,HITECH
721,HITECHCORP
722,HITECHGEAR
723,HLEGLAS
724,HLVLTD
726,HMVL
729,HOMEFIRST
733,HOVS
734,HPL
735,HSCL
736,HSIL
739,HUDCO
742,HUDCO
745,HUDCO
749,IBREALEST
753,IBULHSGFIN
754,IBULHSGFIN
756,IBULHSGFIN
758,ICEMAKE
759,ICICI500
760,ICICIALPLV
761,ICICIB22
763,ICICIBANKN
764,ICICIBANKP
765,ICICICONSU
766,ICICIFMCG
770,ICICILOVOL
771,ICICIM150
772,ICICIMCAP
773,ICICINF100
774,ICICINIFTY
775,ICICINV20
776,ICICINXT50
777,ICICIPHARM
779,ICICISENSX
780,ICICITECH
781,ICIL
783,IDBI
787,IDFCFIRSTB
788,IDFCFIRSTB
791,IDFCFIRSTB
792,IDFCFIRSTB
793,IDFCFIRSTB
794,IDFNIFTYET
795,IEX
796,IFBAGRO
798,IFCI
799,IFCI
801,IFGLEXPOR
802,IGARASHI
803,IGL
804,IGPL
807,IIFL
809,IIFL
810,IIFL
811,IIFL
812,IIFL
813,IIFL
820,IIFLSEC
822,IIHFL
823,IIHFL
827,IMAGICAA
828,IMFA
829,IMPAL
831,INDBANK
832,INDHOTEL
833,INDIACEM
834,INDIAGLYCO
836,INDIANB
837,INDIANCARD
838,INDIANHUME
839,INDIGO
841,INDIGRID
845,INDNIPPON
846,INDOCO
847,INDORAMA
848,INDOSOLAR
849,INDOSTAR
851,INDOTHAI
853,INDRAMEDCO
854,INDSWFTLAB
855,INDSWFTLTD
858,INDUSTOWER
860,INFIBEAM
861,INFOBEAN
863,INFRABEES
865,INGERRAND
866,INNOVANA
867,INOXLEISUR
868,INOXWIND
869,INSECTICID
870,INSPIRISYS
871,INTELLECT
872,INTENTECH
873,INTLCONV
874,INVENTURE
876,IOC
877,IOLCP
878,IPCALAB
879,IPL
880,IRB
881,IRBINVIT
883,IRCTC
886,IREDA
887,IRFC
893,IRFC
896,IRFC
897,IRIS
898,IRISDOREME
899,ISEC
901,ISGEC
902,ISMTLTD
903,ITC
905,ITDCEM
906,ITI
907,IVC
908,IVP
911,IWEL
912,IZMO
913,J&KBANK
914,JAGRAN
915,JAGSNPHARM
916,JAIBALAJI
917,JAICORPLTD
918,JAINAM
919,JAINSTUDIO
921,JAMNAAUTO
922,JASH
923,JAYAGROGN
924,JAYBARMARU
926,JAYSREETEA
929,JBMA
930,JCHAC
931,JETAIRWAYS
933,JHS
934,JINDALPHOT
935,JINDALPOLY
936,JINDALSAW
937,JINDALSTEL
938,JINDRILL
939,JINDWORLD
940,JISLDVREQS
941,JISLJALEQS
943,JKCEMENT
944,JKIL
945,JKLAKSHMI
946,JKPAPER
947,JKTYRE
948,JMA
950,JMFINANCIL
951,JMTAUTOLTD
952,JOCIL
953,JPASSOCIAT
954,JPINFRATEC
955,JPOLYINVST
956,JPPOWER
957,JSL
958,JSLHISAR
959,JSWENERGY
960,JSWHL
961,JSWISPL
962,JSWSTEEL
964,JUBLFOOD
965,JUBLINDS
966,JUBLINGREA
967,JUBLPHARMA
968,JUMPNET
969,JUNIORBEES
970,JUSTDIAL
971,JYOTHYLAB
972,JYOTISTRUC
973,KABRAEXTRU
974,KAJARIACER
975,KAKATCEM
978,KALYANKJIL
979,KAMATHOTEL
980,KAMDHENU
981,KANANIIND
982,KANORICHEM
983,KANPRPLA
988,KARURVYSYA
989,KAVVERITEL
990,KAYA
991,KCP
992,KCPSUGIND
993,KDDL
995,KECL
996,KEERTI
997,KEI
998,KELLTONTEC
999,KENNAMET
1000,KERNEX
1003,KHADIM
1007,KHFM
1009,KILITCH
1010,KILPP
1011,KIMS
1012,KINGFA
1014,KIRIINDUS
1015,KIRLFER
1017,KIRLOSENG
1019,KITEX
1020,KKCL
1021,KMSUGAR
1023,KOKUYOCMLN
1024,KOLTEPATIL
1025,KOPRAN
1026,KOTAKBANK
1027,KOTAKBKETF
1029,KOTAKIT
1030,KOTAKNIFTY
1031,KOTAKNV20
1032,KOTAKPSUBK
1033,KOTARISUG
1035,KOTHARIPRO
1037,KOVAI
1038,KPIGLOBAL
1039,KPITTECH
1041,KRBL
1042,KREBSBIO
1043,KRIDHANINF
1044,KRISHANA
1045,KRITI
1046,KRSNAA
1047,KSB
1048,KSCL
1050,KSL
1051,KSOLVES
1052,KTKBANK
1053,KUANTUM
1054,L&TFH
1055,L&TFINANCE
1057,L&TFINANCE
1058,L&TFINANCE
1059,LAGNAM
1062,LAMBODHARA
1063,LAOPALA
1064,LASA
1065,LATENTVIEW
1066,LAURUSLABS
1067,LAXMICOT
1068,LAXMIMACH
1069,LCCINFOTEC
1071,LFIC
1072,LGBBROSLTD
1075,LIBERTSHOE
1076,LICHSGFIN
1077,LICNETFGSC
1080,LICNFNHGP
1081,LIKHITHA
1082,LINCOLN
1083,LINCPEN
1088,LOKESHMACH
1089,LOTUSEYE
1090,LOVABLE
1091,LPDC
1092,LSIL
1093,LT
1094,LTI
